transaction_id,date,product_id,product_name,quantity,unit_price,customer_id,region
TXN001,2024-01-15,PROD001,Laptop Pro 15,2,1299.99,CUST001,US-West
TXN002,2024-01-15,PROD002,Wireless Mouse,5,29.99,CUST002,US-East
TXN003,2024-01-16,PROD003,USB-C Cable,10,12.99,CUST003,EU-Central
TXN004,2024-01-16,PROD001,Laptop Pro 15,1,1299.99,CUST004,APAC
TXN005,2024-01-17,PROD004,Mechanical Keyboard,3,149.99,CUST005,US-West
TXN006,2024-01-17,PROD005,Monitor 27inch,2,399.99,CUST001,US-West
TXN007,2024-01-18,PROD002,Wireless Mouse,8,29.99,CUST006,EU-Central
TXN008,2024-01-18,PROD006,Webcam HD,4,79.99,CUST007,US-East
TXN009,2024-01-19,PROD001,Laptop Pro 15,1,1299.99,CUST008,APAC
TXN010,2024-01-19,PROD007,Desk Lamp LED,6,45.99,CUST009,US-West
TXN011,2024-01-20,PROD003,USB-C Cable,15,12.99,CUST010,EU-Central
TXN012,2024-01-20,PROD008,Laptop Stand,4,59.99,CUST002,US-East
TXN013,2024-01-21,PROD004,Mechanical Keyboard,2,149.99,CUST011,APAC
TXN014,2024-01-21,PROD005,Monitor 27inch,3,399.99,CUST012,US-West
TXN015,2024-01-22,PROD009,Headphones Pro,5,199.99,CUST013,EU-Central
TXN016,2024-01-22,PROD002,Wireless Mouse,12,29.99,CUST014,US-East
TXN017,2024-01-23,PROD001,Laptop Pro 15,2,1299.99,CUST015,US-West
TXN018,2024-01-23,PROD010,External SSD 1TB,3,129.99,CUST016,APAC
TXN019,2024-01-24,PROD006,Webcam HD,6,79.99,CUST017,EU-Central
TXN020,2024-01-24,PROD004,Mechanical Keyboard,4,149.99,CUST003,US-East
TXN021,2024-01-25,PROD005,Monitor 27inch,1,399.99,CUST018,US-West
TXN022,2024-01-25,PROD007,Desk Lamp LED,8,45.99,CUST019,APAC
TXN023,2024-01-26,PROD009,Headphones Pro,3,199.99,CUST020,EU-Central
TXN024,2024-01-26,PROD003,USB-C Cable,20,12.99,CUST005,US-East
TXN025,2024-01-27,PROD001,Laptop Pro 15,1,1299.99,CUST021,US-West
TXN026,2024-01-27,PROD008,Laptop Stand,5,59.99,CUST022,APAC
TXN027,2024-01-28,PROD002,Wireless Mouse,10,29.99,CUST023,EU-Central
TXN028,2024-01-28,PROD010,External SSD 1TB,2,129.99,CUST024,US-East
TXN029,2024-01-29,PROD006,Webcam HD,4,79.99,CUST001,US-West
TXN030,2024-01-29,PROD004,Mechanical Keyboard,3,149.99,CUST025,APAC
TXN031,2024-01-30,PROD005,Monitor 27inch,2,399.99,CUST026,EU-Central
TXN032,2024-01-30,PROD009,Headphones Pro,4,199.99,CUST027,US-East
TXN033,2024-01-31,PROD001,Laptop Pro 15,3,1299.99,CUST028,US-West
TXN034,2024-01-31,PROD007,Desk Lamp LED,7,45.99,CUST029,APAC
TXN035,2024-02-01,PROD003,USB-C Cable,25,12.99,CUST030,EU-Central
TXN036,2024-02-01,PROD010,External SSD 1TB,4,129.99,CUST008,US-East
TXN037,2024-02-02,PROD002,Wireless Mouse,15,29.99,CUST031,US-West
TXN038,2024-02-02,PROD008,Laptop Stand,6,59.99,CUST032,APAC
TXN039,2024-02-03,PROD006,Webcam HD,5,79.99,CUST033,EU-Central
TXN040,2024-02-03,PROD004,Mechanical Keyboard,2,149.99,CUST034,US-East
TXN041,2024-02-04,PROD005,Monitor 27inch,3,399.99,CUST035,US-West
TXN042,2024-02-04,PROD009,Headphones Pro,6,199.99,CUST011,APAC
TXN043,2024-02-05,PROD001,Laptop Pro 15,2,1299.99,CUST036,EU-Central
TXN044,2024-02-05,PROD007,Desk Lamp LED,9,45.99,CUST037,US-East
TXN045,2024-02-06,PROD003,USB-C Cable,18,12.99,CUST038,US-West
TXN046,2024-02-06,PROD010,External SSD 1TB,3,129.99,CUST039,APAC
TXN047,2024-02-07,PROD002,Wireless Mouse,11,29.99,CUST040,EU-Central
TXN048,2024-02-07,PROD008,Laptop Stand,4,59.99,CUST014,US-East
TXN049,2024-02-08,PROD006,Webcam HD,7,79.99,CUST041,US-West
TXN050,2024-02-08,PROD004,Mechanical Keyboard,5,149.99,CUST042,APAC
